,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
87,67156_1000671560,1.4296542,1.3101774,1.1912198,0.0,0.0,0.0,0.0,0.0,0.0,1.8327241,1.0376976,1.1909995,0.0,0.0,0.0,0.0,0.0,0.0,9.393004162074147,1.0,1.0,0.03314147523713857,1
88,66315_1000663149,1.2500529,1.436163,1.1658726,0.0,0.0,0.0,0.0,0.0,0.0,1.7694215,1.0282598,1.1657376,0.0,0.0,0.0,0.0,0.0,0.0,11.49488657493816,1.0,1.0,0.05004273676821829,1
89,62281_1000622810,1.2859117,1.2193711,1.090026,0.0,0.0,0.0,0.0,0.0,0.0,1.5133201,1.0430123,1.0899552,0.0,0.0,0.0,0.0,0.0,0.0,13.2544060079463,1.0,1.0,0.060589268464342816,1
90,62562_1000625619,1.2443596,1.3736155,1.1378723,0.0,0.0,0.0,0.0,0.0,0.0,1.5322222,1.1203371,1.1378087,0.0,0.0,0.0,0.0,0.0,0.0,9.554305556935923,1.0,1.0,0.052339466515599974,1
91,61103_1000611030,1.517663,1.424964,1.28009,0.0,0.0,0.0,0.0,0.0,0.0,1.7194139,1.2632997,1.2799995,0.0,0.0,0.0,0.0,0.0,0.0,13.81295303262532,1.0,1.0,0.007383374846073565,0
92,66300_1000662999,1.2434227,1.1674016,1.048746,0.0,0.0,0.0,0.0,0.0,0.0,1.3126246,1.107206,1.0487317,0.0,0.0,0.0,0.0,0.0,0.0,11.04166086546545,1.0,1.0,0.07740767791831961,1
93,66935_1000669350,1.4711746,1.3916903,1.2455578,0.0,0.0,0.0,0.0,0.0,0.0,1.7878442,1.15543,1.245311,0.0,0.0,0.0,0.0,0.0,0.0,10.0913842338717,1.0,1.0,0.01356502858727452,0
94,64973_1000649729,1.3564844,1.2460864,1.1316112,0.0,0.0,0.0,0.0,0.0,0.0,1.3526113,1.249588,1.1316074,0.0,0.0,0.0,0.0,0.0,0.0,15.65258280767712,1.0,1.0,0.05195299989161566,1
95,63082_1000630820,1.3314458,1.4797344,1.2215933,0.0,0.0,0.0,0.0,0.0,0.0,1.6553088,1.1957638,1.221555,0.0,0.0,0.0,0.0,0.0,0.0,14.23495234206303,1.0,1.0,0.02727447280679883,1
96,69698_1000696980,1.3854992,1.5008193,1.2551394,0.0,0.0,0.0,0.0,0.0,0.0,1.664951,1.2535168,1.2551279,0.0,0.0,0.0,0.0,0.0,0.0,16.71697735554721,1.0,1.0,0.01471499806357518,0
97,61473_1000614729,1.3458079,1.352474,1.174491,0.0,0.0,0.0,0.0,0.0,0.0,1.5037336,1.2131444,1.174454,0.0,0.0,0.0,0.0,0.0,0.0,27.19520150686413,1.0,1.0,0.02417100678207062,0
98,68529_1000685290,1.3527439,1.646457,1.2979515,0.0,0.0,0.0,0.0,0.0,0.0,2.322916,0.99036837,1.297318,0.0,0.0,0.0,0.0,0.0,0.0,11.89823848271599,1.0,1.0,0.020647697092554734,0
99,66186_1000661859,1.6060017,1.2265443,1.2196133,0.0,0.0,0.0,0.0,0.0,0.0,1.5298288,1.2849181,1.2196159,0.0,0.0,0.0,0.0,0.0,0.0,11.06233566691988,1.0,1.0,0.05427589834530872,1
100,69829_1000698289,1.2295204,1.2605026,1.0837448,0.0,0.0,0.0,0.0,0.0,0.0,1.2688007,1.221523,1.0837419,0.0,0.0,0.0,0.0,0.0,0.0,11.18696973848248,1.0,1.0,0.05750284847179043,1
101,67076_1000670759,1.4769824,1.4061759,1.2545133,0.0,0.0,0.0,0.0,0.0,0.0,1.6596913,1.2558671,1.2544065,0.0,0.0,0.0,0.0,0.0,0.0,10.81032844186651,1.0,1.0,0.010744403800858573,0
102,67830_1000678299,1.3539666,1.469329,1.2276793,0.0,0.0,0.0,0.0,0.0,0.0,1.7962267,1.1193675,1.2275944,0.0,0.0,0.0,0.0,0.0,0.0,9.225901149429788,1.0,1.0,0.02184896320648114,0
103,66333_1000663329,1.534802,1.4720488,1.3084657,0.0,0.0,0.0,0.0,0.0,0.0,1.728868,1.3114784,1.3083657,0.0,0.0,0.0,0.0,0.0,0.0,9.533484983177498,1.0,1.0,0.0014671612571024576,0
104,66054_1000660539,1.4248368,1.4727554,1.2610433,0.0,0.0,0.0,0.0,0.0,0.0,1.5946289,1.3180524,1.2609469,0.0,0.0,0.0,0.0,0.0,0.0,11.34304637117077,1.0,1.0,0.007499335623886669,0
105,65385_1000653849,1.2773731,1.4135269,1.1694821,0.0,0.0,0.0,0.0,0.0,0.0,1.7117646,1.0658666,1.1693734,0.0,0.0,0.0,0.0,0.0,0.0,9.233982695890415,1.0,1.0,0.04234156819733123,1
106,60815_1000608150,1.3195027,1.5149639,1.2302496,0.0,0.0,0.0,0.0,0.0,0.0,1.4386451,1.3883735,1.2302978,0.0,0.0,0.0,0.0,0.0,0.0,17.02445965595238,1.0,1.0,0.030016192745559632,1
107,66835_1000668349,1.3969626,1.2658907,1.1573884,0.0,0.0,0.0,0.0,0.0,0.0,1.6442097,1.0841494,1.1573042,0.0,0.0,0.0,0.0,0.0,0.0,16.6967546840171,1.0,1.0,0.04578242459966499,1
